2020-11-08 22:15:40.646 [http-nio-80-exec-10] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:15:40.647 [http-nio-80-exec-8] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()。参数为：[]
2020-11-08 22:15:40.658 [http-nio-80-exec-8] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.GoodsCategoryModel@40637dc4, com.sst.service.model.GoodsCategoryModel@67368e92, com.sst.service.model.GoodsCategoryModel@47ad9f3f]
2020-11-08 22:15:40.658 [http-nio-80-exec-8] INFO  com.sst.log.Log - List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()执行完成。 后置
2020-11-08 22:15:40.667 [http-nio-80-exec-10] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@272a4c40
2020-11-08 22:15:40.667 [http-nio-80-exec-10] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:16:01.507 [http-nio-80-exec-2] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:16:01.516 [http-nio-80-exec-1] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@30d66dd8]
2020-11-08 22:16:01.517 [http-nio-80-exec-1] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:16:01.517 [http-nio-80-exec-1] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:16:01.532 [http-nio-80-exec-1] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@6192d4ba
2020-11-08 22:16:01.533 [http-nio-80-exec-1] INFO  com.sst.log.Log - GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)执行完成。 后置
2020-11-08 22:22:01.385 [http-nio-80-exec-4] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsCategoryAll(),[]
2020-11-08 22:22:01.386 [http-nio-80-exec-3] INFO  com.sst.log.Log - void com.sst.controller.BaesController.initDate(WebDataBinder),[org.springframework.web.servlet.mvc.method.annotation.ExtendedServletRequestDataBinder@2fbcc71c]
2020-11-08 22:22:01.387 [http-nio-80-exec-3] INFO  com.sst.log.Log - CommonReturnType com.sst.controller.GoodsController.getGoodsDetails(Integer),[1]
2020-11-08 22:22:01.387 [http-nio-80-exec-4] INFO  com.sst.log.Log - 前置增加：执行方法：List com.sst.service.impl.GoodsCategoryServiceImpl.getGoodsCategoryAll()。参数为：[]
2020-11-08 22:22:01.387 [http-nio-80-exec-3] INFO  com.sst.log.Log - 前置增加：执行方法：GoodsModel com.sst.service.impl.GoodsServiceImpl.getGoodsDetails(Integer)。参数为：[1]
2020-11-08 22:22:01.396 [http-nio-80-exec-3] INFO  com.sst.log.Log - 返回值：com.sst.service.model.GoodsModel@75efd053
2020-11-08 22:22:01.396 [http-nio-80-exec-4] INFO  com.sst.log.Log - 返回值：[com.sst.service.model.GoodsCategoryModel@45cfb3ff, com.sst.service.model.GoodsCategoryModel@6825a7b2, com.sst.service.model.GoodsCategoryModel@69f815c9]
